SEED,SEED_DIFF,MC_WIN_PROB,MC_WIN_MARGIN,PROJECTED_POSSESSIONS,FT_RATE_DIFF,3PT_RATE_DIFF,WIN
1,-3,0.61,220,61.8504094521074,0.0,0.0,1
4,3,0.39,-220,61.8504094521074,0.0,0.0,0
3,1,0.426,-148,63.7896730302123,0.0,0.0,0
2,-1,0.574,148,63.7896730302123,0.0,0.0,1
1,-3,0.595,190,67.50499194651722,0.0,0.0,1
4,3,0.405,-190,67.50499194651722,0.0,0.0,0
3,-7,0.732,464,68.74045527110516,0.0,0.0,1
10,7,0.268,-464,68.74045527110516,0.0,0.0,0
1,-1,0.514,28,66.34651192810836,0.0,0.0,1
2,1,0.486,-28,66.34651192810836,0.0,0.0,0
1,-1,0.236,-528,71.59710020341839,0.0,0.0,1
2,1,0.764,528,71.59710020341839,0.0,0.0,0
1,-1,0.351,-298,61.47410459829668,0.0,0.0,1
2,1,0.649,298,61.47410459829668,0.0,0.0,0
1,-2,0.566,132,68.47578268096251,0.0,0.0,1
3,2,0.434,-132,68.47578268096251,0.0,0.0,0
1,0,0.298,-404,68.65316221901423,0.0,0.0,0
1,0,0.702,404,68.65316221901423,0.0,0.0,1
1,0,0.44,-120,62.698966760261655,0.0,0.0,0
1,0,0.56,120,62.698966760261655,0.0,0.0,1
1,0,0.603,206,65.13887011872427,0.0,0.0,1
1,0,0.397,-206,65.13887011872427,0.0,0.0,0
